Programa,N,Hilos,n,media_us,sd_us,min_us,max_us,speedup,eficiencia
mmClasicaFork,100,1,30,1865.033,843.200,1260.000,4660.000,,
mmClasicaFork,100,2,30,1174.633,701.866,798.000,3866.000,,
mmClasicaFork,100,4,30,1428.400,539.978,951.000,3315.000,,
mmClasicaFork,1000,1,30,1693188.267,126239.537,1290386.000,2011877.000,,
mmClasicaFork,1000,2,30,837431.167,11305.326,823918.000,877946.000,,
mmClasicaFork,1000,4,14,745123.357,132813.537,429002.000,876452.000,,
mmClasicaFork,500,1,30,192062.367,7221.468,184062.000,225496.000,,
mmClasicaFork,500,2,30,99779.000,3845.608,92967.000,111910.000,,
mmClasicaFork,500,4,30,78630.900,8845.192,64648.000,102863.000,,
mmClasicaOpenMP,100,1,30,1211.967,448.191,967.000,3116.000,,
mmClasicaOpenMP,100,2,30,917.767,435.754,530.000,2303.000,,
mmClasicaOpenMP,100,4,30,945.967,1161.796,353.000,4567.000,,
mmClasicaOpenMP,1000,1,30,1536915.933,172880.248,1283277.000,1714772.000,,
mmClasicaOpenMP,1000,2,30,835450.367,29438.209,814036.000,925375.000,,
mmClasicaOpenMP,1000,4,30,459128.133,73248.781,412475.000,633949.000,,
mmClasicaOpenMP,500,1,30,187476.733,7230.555,182449.000,210822.000,,
mmClasicaOpenMP,500,2,30,97717.733,3250.766,91875.000,107570.000,,
mmClasicaOpenMP,500,4,30,51885.300,3090.351,46507.000,58487.000,,
mmClasicaPosix,100,1,30,1649.967,561.804,1227.000,3421.000,,
mmClasicaPosix,100,2,30,1334.600,558.272,799.000,3370.000,,
mmClasicaPosix,100,4,30,819.033,287.526,530.000,1583.000,,
mmClasicaPosix,1000,1,30,1665467.800,12925.339,1638767.000,1688105.000,,
mmClasicaPosix,1000,2,30,836736.967,20887.365,817464.000,934994.000,,
mmClasicaPosix,1000,4,30,421218.833,6109.840,413256.000,434342.000,,
mmClasicaPosix,500,1,30,186257.000,13629.666,145628.000,198866.000,,
mmClasicaPosix,500,2,30,99605.767,2988.653,94377.000,106107.000,,
mmClasicaPosix,500,4,30,52196.933,2596.391,47122.000,57717.000,,
mmClasicaSerie,100,2,30,1088.300,413.647,732.000,2429.000,1.09434,0.547169
mmClasicaSerie,100,4,30,1108.667,280.388,963.000,2172.000,1.07423,0.268558
mmClasicaSerie,1000,2,30,1580854.433,195815.167,1281945.000,1958037.000,0.957412,0.478706
mmClasicaSerie,1000,4,30,1617377.400,145990.133,1308871.000,1730972.000,0.935792,0.233948
mmClasicaSerie,500,2,24,193850.875,12976.974,183500.000,219553.000,0.972443,0.486222
mmClasicaSerie,500,4,30,185029.500,1635.608,183334.000,191627.000,1.01881,0.254701
mmFilasOpenMP,100,1,30,1439.533,772.325,915.000,3392.000,0.827329,0.827329
mmFilasOpenMP,100,2,30,911.867,423.813,546.000,2311.000,1.30608,0.653038
mmFilasOpenMP,100,4,30,1350.700,1976.302,360.000,9865.000,0.881741,0.220435
mmFilasOpenMP,1000,1,30,1501730.733,34935.148,1487047.000,1686258.000,1.00786,1.00786
mmFilasOpenMP,1000,2,30,753058.167,5161.896,744976.000,769704.000,2.00984,1.00492
mmFilasOpenMP,1000,4,30,382908.100,5648.281,377333.000,402129.000,3.95272,0.988181
mmFilasOpenMP,500,1,30,177419.433,4265.892,172593.000,191457.000,1.0625,1.0625
mmFilasOpenMP,500,2,30,92354.500,2884.546,87700.000,96680.000,2.04115,1.02057
mmFilasOpenMP,500,4,30,49217.267,4944.214,44259.000,67980.000,3.83014,0.957535
Programa,N,Hilos,n,media_us,sd_us,min_us,max_us,speedup,eficiencia
mmClasicaFork,100,1,30,1865.033,843.200,1260.000,4660.000,0.638577,0.638577
mmClasicaFork,100,2,30,1174.633,701.866,798.000,3866.000,1.01391,0.506953
mmClasicaFork,100,4,30,1428.400,539.978,951.000,3315.000,0.833777,0.208444
mmClasicaFork,1000,1,30,1693188.267,126239.537,1290386.000,2011877.000,0.893893,0.893893
mmClasicaFork,1000,2,30,837431.167,11305.326,823918.000,877946.000,1.80735,0.903674
mmClasicaFork,1000,4,14,745123.357,132813.537,429002.000,876452.000,2.03125,0.507812
mmClasicaFork,500,1,30,192062.367,7221.468,184062.000,225496.000,0.981499,0.981499
mmClasicaFork,500,2,30,99779.000,3845.608,92967.000,111910.000,1.88927,0.944633
mmClasicaFork,500,4,30,78630.900,8845.192,64648.000,102863.000,2.39739,0.599348
mmClasicaOpenMP,100,1,30,1211.967,448.191,967.000,3116.000,0.982673,0.982673
mmClasicaOpenMP,100,2,30,917.767,435.754,530.000,2303.000,1.29768,0.64884
mmClasicaOpenMP,100,4,30,945.967,1161.796,353.000,4567.000,1.25899,0.314749
mmClasicaOpenMP,1000,1,30,1536915.933,172880.248,1283277.000,1714772.000,0.984783,0.984783
mmClasicaOpenMP,1000,2,30,835450.367,29438.209,814036.000,925375.000,1.81163,0.905816
mmClasicaOpenMP,1000,4,30,459128.133,73248.781,412475.000,633949.000,3.29653,0.824132
mmClasicaOpenMP,500,1,30,187476.733,7230.555,182449.000,210822.000,1.00551,1.00551
mmClasicaOpenMP,500,2,30,97717.733,3250.766,91875.000,107570.000,1.92912,0.964559
mmClasicaOpenMP,500,4,30,51885.300,3090.351,46507.000,58487.000,3.63319,0.908297
mmClasicaPosix,100,1,30,1649.967,561.804,1227.000,3421.000,0.721813,0.721813
mmClasicaPosix,100,2,30,1334.600,558.272,799.000,3370.000,0.892377,0.446189
mmClasicaPosix,100,4,30,819.033,287.526,530.000,1583.000,1.45411,0.363528
mmClasicaPosix,1000,1,30,1665467.800,12925.339,1638767.000,1688105.000,0.908771,0.908771
mmClasicaPosix,1000,2,30,836736.967,20887.365,817464.000,934994.000,1.80885,0.904424
mmClasicaPosix,1000,4,30,421218.833,6109.840,413256.000,434342.000,3.59321,0.898303
mmClasicaPosix,500,1,30,186257.000,13629.666,145628.000,198866.000,1.01209,1.01209
mmClasicaPosix,500,2,30,99605.767,2988.653,94377.000,106107.000,1.89255,0.946276
mmClasicaPosix,500,4,30,52196.933,2596.391,47122.000,57717.000,3.6115,0.902874
mmClasicaSerie,100,1,30,1190.967,376.211,757.000,2486.000,1,1
mmClasicaSerie,100,2,30,1088.300,413.647,732.000,2429.000,1.09434,0.547169
mmClasicaSerie,100,4,30,1108.667,280.388,963.000,2172.000,1.07423,0.268558
mmClasicaSerie,1000,1,30,1513529.333,187821.096,1284307.000,1802648.000,1,1
mmClasicaSerie,1000,2,30,1580854.433,195815.167,1281945.000,1958037.000,0.957412,0.478706
mmClasicaSerie,1000,4,30,1617377.400,145990.133,1308871.000,1730972.000,0.935792,0.233948
mmClasicaSerie,500,1,30,188509.000,12557.803,142439.000,212580.000,1,1
mmClasicaSerie,500,2,24,193850.875,12976.974,183500.000,219553.000,0.972443,0.486222
mmClasicaSerie,500,4,30,185029.500,1635.608,183334.000,191627.000,1.01881,0.254701
mmFilasOpenMP,100,1,30,1439.533,772.325,915.000,3392.000,0.827329,0.827329
mmFilasOpenMP,100,2,30,911.867,423.813,546.000,2311.000,1.30608,0.653038
mmFilasOpenMP,100,4,30,1350.700,1976.302,360.000,9865.000,0.881741,0.220435
mmFilasOpenMP,1000,1,30,1501730.733,34935.148,1487047.000,1686258.000,1.00786,1.00786
mmFilasOpenMP,1000,2,30,753058.167,5161.896,744976.000,769704.000,2.00984,1.00492
mmFilasOpenMP,1000,4,30,382908.100,5648.281,377333.000,402129.000,3.95272,0.988181
mmFilasOpenMP,500,1,30,177419.433,4265.892,172593.000,191457.000,1.0625,1.0625
mmFilasOpenMP,500,2,30,92354.500,2884.546,87700.000,96680.000,2.04115,1.02057
mmFilasOpenMP,500,4,30,49217.267,4944.214,44259.000,67980.000,3.83014,0.957535
